Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
Waiting for UI &amp; Game changer,waiting for ui amp game changer,waiting for ui amp game changer,waiting for ui amp game changer,Negative
Waiting for your review,waiting for your review,waiting for your review,waiting for your review,Neutral
முதல் 20நிமிசம் பார்ட் 3க்கு ஆரம்ப புள்ளி. என்னா மாறா இதுக்கூடவா தெரியலை?<br>புஷ்பா கடலில் குண்டடிபட்டு விழும் போது பார்ட் 2 வை நினைச்சிப்பாக்குறாரு.😊😊😊,மதல நமசம பரட கக ஆரமப பளள எனன மற இதககடவ தரயலbrபஷப கடலல கணடடபடட வழம பத பரட வ நனசசபபககறர,BRIVERY STATEMENT OF THE MANUFACTURED,BRIVERY STATEMENT OF THE MANUFACTURED,Neutral
Per review average income for Blue sattai <br><br>1. Padum Mokka Padam Review Sumara Sonnalae - 3 Lakhs<br>2. Banner Advertisment in Video - 25000 (all Ads included in per review video)<br>3. Others Ads out of video - 45000<br><br>Around Solid - 25000 - 3.7 lakhs inr excluding YouTube monetization,per review average income for blue sattai brbr padum mokka padam review sumara sonnalae lakhsbr banner advertisment in video all ads included in per review videobr others ads out of video brbraround solid lakhs inr excluding youtube monetization,per review average income for blue sattai brbr padum mokka padam review sumara sonnalae lakhsbr banner advertisment in video all ads included in per review videobr others ads out of video brbraround solid lakhs inr excluding youtube monetization,per review average income for blue sattai brbr padum mokka padam review sumara sonnalae lakhsbr banner advertisment in video all ads included in per review videobr others ads out of video brbraround solid lakhs inr excluding youtube monetization,Negative
this comment section is making me happy as jam able to witness the jealousy of sambar batch. Keep cryingdaa we are already much ahead of you and the only thing you can do is crying and mud sliding.,this comment section is making me happy as jam able to witness the jealousy of sambar batch keep cryingdaa we are already much ahead of you and the only thing you can do is crying and mud sliding,this comment section is making me happy as jam able to witness the jealousy of sambar batch keep cryingdaa we are already much ahead of you and the only thing you can do is crying and mud sliding,this comment section is making me happy as jam able to witness the jealousy of sambar batch keep cryingdaa we are already much ahead of you and the only thing you can do is crying and mud sliding,Positive
Thala trending no 1,thala trending no,thala trending no,thala trending no,Neutral
GT holiday poi ippo YAS ah?,gt holiday poi ippo yas ah,gt holiday poi ppo yas ah,gt holiday poi ppo yas ah,Neutral
Jagapathi baabu,jagapathi baabu,Jagapath Baab,Jagapath Baab,Neutral
Vera level da blue satta,vera level da blue satta,Vera Level from Blue Satta,Vera Level from Blue Satta,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=333"">5:33</a> 😂😂😂😂 மொத்த படத்தையும் ஹீரோ தாங்கு தாங்கி தாங்கிருக்கார்..😂😂😂",a href மதத படததயம ஹர தஙக தஙக தஙகரககர,A href Religious Image,A href Religious Image,Neutral
"ஃபர்ஸ்ட் புஷ்பா  1 ல் ஹீரோவுக்கு சோல்டர் சைடு வாங்குவதற்கான காரணத்தை கேட்டால், காரி துப்புற மாதிரி இருக்கும், அந்த காரணம்",ஃபரஸட பஷப ல ஹரவகக சலடர சட வஙகவதறகன கரணதத கடடல கர தபபற மதர இரககம அநத கரணம,Farasada Pasabhala Harawaka Staff Staff,Farasada Pasabhala Harawaka Staff Staff,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=335"">5:35</a>",a href,and href,and href,Neutral
Pushpa.... telugu masala mokka,pushpa telugu masala mokka,Pushpa Telugu Masala Mokka,Pushpa Telugu Masala Mokka,Neutral
தமிழ்நாட்டில் எப்போதும் புஷ்பா என்று சொன்னாலே சூரி புஷ்பா புருஷனாக வருவது மட்டுமே ஞாபகத்துக்கு வரும்,தமழநடடல எபபதம பஷப எனற சனனல சர பஷப பரஷனக வரவத மடடம ஞபகததகக வரம,Come to the forefront of the publication,Come to the forefront of the publication,Neutral
Yow bluesattai mara ne veara mari alu ya ... Oru vate enga area ku vanthutu po nearaya pearu build up a sutharanga avangala vetchu seanjutu po😅,yow bluesattai mara ne veara mari alu ya oru vate enga area ku vanthutu po nearaya pearu build up a sutharanga avangala vetchu seanjutu po,Yow Bluesattai Mara Ne Veara Mari ALU YA ORU VATE AREA KU VANTHUTU PO NEARAYA PEUAN BUILD UP A SUTHARANGA AVANGALA VETCHU,Yow Bluesattai Mara Ne Veara Mari ALU YA ORU VATE AREA KU VANTHUTU PO NEARAYA PEUAN BUILD UP A SUTHARANGA AVANGALA VETCHU,Neutral
pls avoid telugu movies worstu...idhula andhra kaaranuga...Pushpa superb movie nu solrainga,pls avoid telugu movies worstuidhula andhra kaaranugapushpa superb movie nu solrainga,Pls Avoid Telugu Movies Worstuidhula Andhra Karanugapushpa Superb Movie Nu Solrainga,Pls Avoid Telugu Movies Worstuidhula Andhra Karanugapushpa Superb Movie Nu Solrainga,Positive
Adei ellame part 3 la varumm wait pannungu daaaaa 🤦 ungalaku story eh theriyale da ungalakuuu 🤦 wait pannungu da pushpa 3 varum,adei ellame part la varumm wait pannungu daaaaa ungalaku story eh theriyale da ungalakuuu wait pannungu da pushpa varum,Adei Elame part la varumm wait pannungu daaaaa ungalaku story eh theryiele da ungalakuuuuuuuuuuu pannungu da pushpa varum,Adei Elame part la varumm wait pannungu daaaaa ungalaku story eh theryiele da ungalakuuuuuuuuuuu pannungu da pushpa varum,Neutral
அப்போ GT holiday ல டூர் போக வேண்டாமா? YAS டூர் ல தான் போகணுமா? ஒன்னும் புரியல ஒரே குழப்பமா இருக்கு 😂😂,அபப gt holiday ல டர பக வணடம yas டர ல தன பகணம ஒனனம பரயல ஒர கழபபம இரகக,Abbaba gt holiday la Dara Bhagavatama,Abbaba gt holiday la Dara Bhagavatama,Neutral
Intha padathula erumai meikra chance vanthum reject panna thanmana thalaivanda enga blue sattai maran😂,intha padathula erumai meikra chance vanthum reject panna thanmana thalaivanda enga blue sattai maran,Intha Solid Erumai Meikra Chance Vanthum Reject Panna Thalaivanda Bet Blue Satta Maran,Intha Solid Erumai Meikra Chance Vanthum Reject Panna Thalaivanda Bet Blue Satta Maran,Neutral
still love the movie just came here for funny speech which is very entertaining,still love the movie just came here for funny speech which is very entertaining,still love the movie just came here for funny speech which is very entertaining,still love the movie just came here for funny speech which is very entertaining,Positive
"honest review sir<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",honest review sira hrefuckszuwhgymbdvujgksifylzfolmakanydqaga,Honest Review Sira HrefuczSzuwhGymbDVujGksifylmakanydqaga,Honest Review Sira HrefuczSzuwhGymbDVujGksifylmakanydqaga,Positive
இப்போதுதான் புஷ்ப ௨ படத்தை தமிழ் ராக்கர்ஸ்லா டவுன்லோட் பண்ணி பாத்துக்கிட்டு  இருக்கேன்  👀,இபபததன பஷப படதத தமழ ரககரஸல டவனலட பணண பததககடட இரககன,This is the first time that you have been able to do this.,This is the first time that you have been able to do this,Positive
💯👍,,,,Neutral
தெலுங்கு படம் தெலுங்கு படம் மாதிரி தான் இருக்கும்,தலஙக படம தலஙக படம மதர தன இரககம,Talaga film,Talaga film,Neutral
Ada tharkuri container scene part 3 lead ra.😅,ada tharkuri container scene part lead ra,ada tharkuri container scene part lead ra,ada tharkuri container scene part lead ra,Neutral
<b>I&#39;m muslim guy but got goosebumps in that Scene when Allu Arjun took Devi Maa Avatar</b>,bim muslim guy but got goosebumps in that scene when allu arjun took devi maa avatarb,bim muslim guy but got goosebumps in that scene when allu arjun took devi maa avatarb,bim muslim guy but got goosebumps in that scene when allu arjun took devi maa avatarb,Neutral
"புஷ்பா புருஷன்😂😂😂 <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=406"">6:46</a>",பஷப பரஷன a href,Pashabha Parasana a href,Pashabha Parasana a href,Neutral
அண்ணனே செல்லியாச்சி படத்த ஒரு தடவ பார்துடவேண்டியதுதான்🤣,அணணன சலலயசச படதத ஒர தடவ பரதடவணடயததன,Once in a while,Once in a while,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=337"">5:37</a> தாங்கி தாங்கி சோல்டர் ஒரு ஒரு பக்கம் போயிடுச்சு😂😂😂😂 சூப்பர் தல",a href தஙக தஙக சலடர ஒர ஒர பககம பயடசச சபபர தல,A href,A href,Neutral
ஜெகபதி பாபு வ அடிகுறத்  நீ இன்னும் நிறத்தவே இல்லை😂😂😂,ஜகபத பப வ அடகறத ந இனனம நறததவ இலல,Jagapatha Public Advisory,Jagapatha Public Advisory,Neutral
No.1 trending 😂😂😂😂🎉🎉🎉🎉,no trending,no trending,no trending,Neutral
"This is not movie review,but frustration of Tamil industry not able to make mark in pan India ......<br>Thank you for removing theatrical experience of this movie by revealing the story......",this is not movie reviewbut frustration of tamil industry not able to make mark in pan india brthank you for removing theatrical experience of this movie by revealing the story,this is not movie reviewbut frustration of tamil industry not able to make mark in pan india brthank you for removing theatrical experience of this movie by revealing the story,this is not movie reviewbut frustration of tamil industry not able to make mark in pan india brthank you for removing theatrical experience of this movie by revealing the story,Negative
Pushpa 1🔥 pushpa 2🌷,pushpa pushpa,puspa Pusa,puspa Pusa,Neutral
Thank you❤ Sir,thank you sir,thank you sir,thank you sir,Neutral
ஜெகபதி பாபு வா.😂😂😂,ஜகபத பப வ,Jagapatha Papa Va.,Jagapatha Papa Va,Neutral
😂Nice Review🤝😄,nice review,nice review,nice review,Positive
ஹைதராபாத் விமான நிலையத்துலேயே அல்ல அர்ஜுன் நடக்குறப்ப யே மெயின் பட்டை உடைந்த லாரி மாதிரி ஒரு பக்கமா சாய்ந்து தான் நடந்து வந்தார். புஷ்பா ..2 எபெக்ட்டா ?,ஹதரபத வமன நலயததலய அலல அரஜன நடககறபப ய மயன படட உடநத லர மதர ஒர பககம சயநத தன நடநத வநதர பஷப எபகடட,Hatabadha Vamanathalaya Alalala Alarata Natakarapattu Pathiramalai Paradise,Hatabadha Vamanathalaya Alalala Alarata Natakarapattu Pathiramalai Paradise,Neutral
Padam reviews paaka vareno illayo neenga pandra comedy kaagave paaka varen 😂,padam reviews paaka vareno illayo neenga pandra comedy kaagave paaka varen,Padam Reviews Paaka Vareno Illayo Neenga Pandra Comedy,Padam Reviews Paaka Vareno Illayo Neenga Pandra Comedy,Neutral
உண்மை பேசியதற்காக நன்றி,உணம பசயதறகக நனற,Diet,Diet,Neutral
Pushpa 2 to cross 1000+ Crores Theatrically.,pushpa to cross crores theatrically,pushpa to cross crores theatrically,pushpa to cross crores theatrically,Neutral
நீ முதல்ல தமிழ்ல பேசுயா😀,ந மதலல தமழல பசய,Goodbye,Goodbye,Neutral
Rashmika oosi paasi kari😂😂😂😂,rashmika oosi paasi kari,Rashmika oosi Paasi herd,Rashmika oosi Paasi herd,Neutral
Excellent review,excellent review,excellent review,excellent review,Positive
திடீர்னு ஒரு சந்தேகம் பாஸ்...எந்த YouTube சானலிலும் இல்லாத அளவிற்கு (கிட்டத்தட்ட 7 அல்லது 8) தமிழ்ப்பட ரிலீஸ் குறித்து விளம்பரம் வருகிறது. ஒருவேளை படம் ரிலீஸ் ஆன பிறகு நீங்க கொஞ்சம் அடக்கி வாசிக்கனும் என்பதற்கான கவனிப்பா?😊😊,தடரன ஒர சநதகம பஸஎநத youtube சனலலம இலலத அளவறக கடடததடட அலலத தமழபபட ரலஸ கறதத வளமபரம வரகறத ஒரவள படம ரலஸ ஆன பறக நஙக கஞசம அடகக வசககனம எனபதறகன கவனபப,YouTube is one of the most important things that you have to do with youtube.,YouTube is one of the most important things that you have to do with youtube,Positive
Pushpa 2 waste kanguva blockbuster 🤣🤣 cry more sambaar guys,pushpa waste kanguva blockbuster cry more sambaar guys,PUSHPA WASTE KANGUVA BLOCKBUSTER CRY MORE SAMBARD GUYS,PUSHPA WASTE KANGUVA BLOCKBUSTER CRY MORE SAMBARD GUYS,Positive
Thangi thangi romba side vangitaru hero 😂😂😂,thangi thangi romba side vangitaru hero,Thangi Thangi Romba Side Vititaru Hero,Thangi Thangi Romba Side Vititaru Hero,Neutral
Appo padam nalla irruku😂,appo padam nalla irruku,Appo Padam Nalla Irruku,Appo Padam Nalla Irruku,Neutral
Pusha 2 romba romba kevalama irukku <br>Pathu pacha thanni kooda kudiku mudiyala,pusha romba romba kevalama irukku brpathu pacha thanni kooda kudiku mudiyala,Pusha Romba Romba Kevalama Irukku Brpathu Twin Thanni Kooda Kudiku Mudiyala,Pusha Romba Romba Kevalama Irukku Brpathu Twin Thanni Kooda Kudiku Mudiyala,Neutral
Telugu means no brain😂😂no brain means telugu😂😂,telugu means no brainno brain means telugu,telugu means no brainno brain means telugu,telugu means no brainno brain means telugu,Neutral
மசாலா படம் சொல்றிங்க என்ன மசாலா சொல்லுங்க 😂😂😂😂,மசல படம சலறஙக எனன மசல சலலஙக,Masala film is a source of money,Masala film is a source of money,Neutral
Padam pakkama review pakka vanthavargal sarbaga padam vetri pera vazhthukkal😂,padam pakkama review pakka vanthavargal sarbaga padam vetri pera vazhthukkal,Out to Pakkama Review Pakka Vanthavargal Sarbaga Ods Vetri Pera Vazthukkal,Out to Pakkama Review Pakka Vanthavargal Sarbaga Ods Vetri Pera Vazthukkal,Neutral
Work from home movie kanguva😂😂😂,work from home movie kanguva,Work from Home Movie Kanguva,Work from Home Movie Kanguva,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=332"">5:32</a> 😂🤣😂",a href,and href,and href,Neutral
Pushpa 2 na fire nu nenchaiya illa wild fire u 😂😂😂😂 padam flowera poiduchu😂😂😂😂but reality blue sattai review than fire a irruku🔥🔥🔥🔥🔥🔥.,pushpa na fire nu nenchaiya illa wild fire u padam flowera poiduchubut reality blue sattai review than fire a irruku,pushpa na fire nu nenchaiya illa wild fire u padam flowera poiduchubut reality blue sattai review than fire a irruku,pushpa na fire nu nenchaiya illa wild fire u padam flowera poiduchubut reality blue sattai review than fire a irruku,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=348"">5:48</a> 😅 💯",a href,and href,and href,Neutral
100% உண்மையான ரிவியூ,உணமயன ரவய,Implication,Implication,Neutral
Vaaika thagararu😂😂😂,vaaika thagararu,Vauna Thagararu,Vauna Thagararu,Neutral
விமர்சனம் nagaisuvaiyaga உள்ளது,வமரசனம nagaisuvaiyaga உளளத,வமரசனம Nagaisuvayaga உளளத,Nagaisuvayaga,Neutral
Pushpa purushan 😂😂,pushpa purushan,Pushpa Purushan,Pushpa Purushan,Neutral
Unga padam alavuku ile,unga padam alavuku ile,unga go out alavuku ile,unga go out alavuku ile,Neutral
Pushpa purushan 😆🤣😜,pushpa purushan,Pushpa Purushan,Pushpa Purushan,Neutral
😂😂😂😂😂,,,,Neutral
Dappa movie,dappa movie,dappa movie,dappa movie,Neutral
Fights🔥🔥🔥🔥,fights,fights,fights,Neutral
யாரு லாம் புஸ்பா 1.ஒன்னு பாத்திங்க,யர லம பஸப ஒனன பததஙக,Yara Lama Basab,Yara Lama Basab,Neutral
Till now I was waiting for your review Maaran Sir.<br>Be blessed.,till now i was waiting for your review maaran sirbrbe blessed,till now i was waiting for your review maaran sirbrbe blessed,till now i was waiting for your review maaran sirbrbe blessed,Neutral
Love day collection paathu pesu da pu...,love day collection paathu pesu da pu,Love Day Collection Paathu Pesu da Pu,Love Day Collection Paathu Pesu da Pu,Positive
Genuine review 😭,genuine review,Genuine Review,Genuine Review,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=321"">5:21</a>....😂😂😂😂yoo",a href,and href,and href,Neutral
Appo yethuku thelugu movie nu therincum --- review pannuringa,appo yethuku thelugu movie nu therincum review pannuringa,appo yethuku thelugu movie nu therincum review pannuringa,appo yethuku thelugu movie nu therincum review pannuringa,Neutral
இவர் பாராட்டிய படங்கள் எதும் இருந்தால் லிஸ்ட் சொல்லுங்களேன்.......,இவர பரடடய படஙகள எதம இரநதல லஸட சலலஙகளன,He is the most popular of the film.,He is the most popular of the film,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=270"">4:30</a> தல பெருமையா பேசுறியா இல்ல நக்கல் பண்றியா😅",a href தல பரமய பசறய இலல நககல பணறய,A href Head,A href Head,Neutral
"If you watch and support this type of movie, thjs kind of shit will repeat 🥲",if you watch and support this type of movie thjs kind of shit will repeat,if you watch and support this type of movie thjs kind of shit will repeat,if you watch and support this type of movie thjs kind of shit will repeat,Positive
"review kekkave ivlo bore adikudhuna, padam epd irukum",review kekkave ivlo bore adikudhuna padam epd irukum,Review Kekkava Ivlo Bore Adikudhuna falls EPD IRUKUM,Review Kekkava Ivlo Bore Adikudhuna falls EPD IRUKUM,Neutral
Padam nalla than erukku  why negative review 😢,padam nalla than erukku why negative review,extinguished nalla than erukku why negative review,extinguished nalla than erukku why negative review,Negative
Dei pudungi... Param sooperda..<br>Avinja kann alapara...,dei pudungi param sooperdabravinja kann alapara,Dei Pudungi Param Sooperdabravinja Kann Alapara,Dei Pudungi Param Sooperdabravinja Kann Alapara,Neutral
Ivlo pesura anti indian director pavam producer 😂😂😂😂 ivlo pesura anti indian director oda movie vasool evlo?,ivlo pesura anti indian director pavam producer ivlo pesura anti indian director oda movie vasool evlo,Ivlo Pesura Anti Indian Director Pavam Producer Ivlo Pesura Anti Indian Director Oda Movie Vasool Evlo,Ivlo Pesura Anti Indian Director Pavam Producer Ivlo Pesura Anti Indian Director Oda Movie Vasool Evlo,Neutral
Work from home😂😂😂,work from home,work from home,work from home,Neutral
Princha kodumbam onnu serathu ithu ellam pushpa padathukku thevaiya😅😅😅😅😂😂😂😂😂,princha kodumbam onnu serathu ithu ellam pushpa padathukku thevaiya,Prcha Kodamambam Hitnu Serathu Ithu Ellam Pushpa Padathku Thevaiya,Prcha Kodamambam Hitnu Serathu Ithu Ellam Pushpa Padathku Thevaiya,Neutral
Ada பாவி தெலுங்கு காரன் கிட்ட காசு வாங்கிட்டியா டா வென்ன,ada பவ தலஙக கரன கடட கச வஙகடடய ட வனன,Ada Pavilion,Ada Pavilion,Neutral
Echa tea,echa tea,echa tea,echa tea,Neutral
"Good review, similarly lot of negative reviews coming from Kerala",good review similarly lot of negative reviews coming from kerala,good review similarly lot of negative reviews coming from kerala,good review similarly lot of negative reviews coming from kerala,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=396"">6:36</a> Pushpa purushan nnu nenachen... 🔥😂",a href pushpa purushan nnu nenachen,a href pushpa purushan nnu nenachen,a href pushpa purushan nnu nenachen,Neutral
சூப்பரா சொண்ணிக,சபபர சணணக,Core,Core,Neutral
டேய் நான் 11 மணி ஷோ பாத்தேன் டிக்கெட் வெளை 550 mp டா வெண்ண. படம் ம்ம் அட்டர் பிளாப் டா பாத்து பாத்து சாவுங்க டா,டய நன மண ஷ பததன டககட வள mp ட வணண படம மம அடடர பளப ட பதத பதத சவஙக ட,Diamond Mana Patanatha Resource MP MP MP MP MP,Diamond Mana Patanatha Resource MP MP MP MP MP,Neutral
😂😂😂,,,,Neutral
Enakku antha mana uruthi illai,enakku antha mana uruthi illai,enakku Antha Mana Uruthi illai,enakku Antha Mana Uruthi illai,Neutral
Pls review sookshmadarshini,pls review sookshmadarshini,pls review sookshmadarshini,pls review sookshmadarshini,Neutral
14000 like.....,like,flood,flood,Neutral
Part onney innum pakkalaye😂,part onney innum pakkalaye,Part ouy Innum Pakkalaye,Part ouy Innum Pakkalaye,Neutral
😂😂😂😂😂😂,,,,Neutral
😂😂😂 Semma fun ur rewiew,semma fun ur rewiew,Semma fun ur rewiew,Semma fun ur rewiew,Positive
Atlee 1000 dancer vacha ithu pramandama kekinga ithula neraya peru irukanga pramandam nu soliringa 😅,atlee dancer vacha ithu pramandama kekinga ithula neraya peru irukanga pramandam nu soliringa,Atlee Dancer Vacha Ithu Pramandama Kekinga Ithula Peru Peru Irukanga Pramandam Nu Sininga,Atlee Dancer Vacha Ithu Pramandama Kekinga Ithula Peru Peru Irukanga Pramandam Nu Sininga,Neutral
Hahaha he is correct,hahaha he is correct,hahaha he is correct,hahaha he is correct,Positive
Lol savage review,lol savage review,lol savage review,lol savage review,Positive
Anna athu vanthu jappanese illey full nepalise😂😂,anna athu vanthu jappanese illey full nepalise,Anna Athu Vanthu JappaSe Illey Full Nepalise,Anna Athu Vanthu JappaSe Illey Full Nepalise,Positive
Dei ithu pittu padam da athan hit aguthu punjikkunga da,dei ithu pittu padam da athan hit aguthu punjikkunga da,Dei ITHU Pittu extinguished Da Athan Hit Aguthu Punjikkunga da,Dei ITHU Pittu extinguished Da Athan Hit Aguthu Punjikkunga da,Neutral
தலைவா உங்க review ultimate fun,தலவ உஙக review ultimate fun,தலவ உஙக Review Ultimate Fun,Review Ultimate Fun,Positive
Mooditu poda blue sattai,mooditu poda blue sattai,Mooditu Poda Blue Sattai,Mooditu Poda Blue Sattai,Neutral
Nee entha padathukkuthan nalla review koduppa. Ellathukum kurai mattum nalla solluvan,nee entha padathukkuthan nalla review koduppa ellathukum kurai mattum nalla solluvan,NEE Entha Padathukkutn Nalla Review Koduppa Ellatthumum Kurai Mattum Nalla Sollulluva,NEE Entha Padathukkutn Nalla Review Koduppa Ellatthumum Kurai Mattum Nalla Sollulluva,Neutral
"அடேய், ப்ளூ பிலிம் பொட்டை, நீ தான் ஒரு படம் எடுத்தியே அது படமா டா, தேவிடியா பையா, என் இன்னொரு படம் எடுக்க முடில, வன்ட்டான் பெரிய பூளு மாதிரி எல்லாம் படத்தையும் விமர்சனம் பன்ன",அடய பள பலம படட ந தன ஒர படம எடததய அத படம ட தவடய பய என இனனர படம எடகக மடல வனடடன பரய பள மதர எலலம படததயம வமரசனம பனன,The film is a movie that is a movie that is a picture of the film.,The film is a movie that is a movie that is a picture of the film,Neutral
தாங்கி தாங்கி ரொம்ப சைடு வாங்கிருச்சு நிச்சயமா ஹீரோ பாராட்டி ஆக😂😂 யோவ் ப்ளூ சட்டை மாறா நக்கல் யா உனக்கு😂,தஙக தஙக ரமப சட வஙகரசச நசசயம ஹர பரடட ஆக யவ பள சடட மற நககல ய உனகக,They are the most common type of money laundering.,They are the most common type of money laundering,Positive
என் மனசுல உள்ள பாரமே குறைஞ்சிடுச்சியா,என மனசல உளள பரம கறஞசடசசய,As a manuscript,As a manuscript,Neutral
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=343"">5:43</a> 🥵😂😭",a href,and href,and href,Neutral
நீ ஒரு படம் எடுத்த பாரு ஆண்ட்டி இந்தியன் ஆஸ்கார் அவர்ட் movies,ந ஒர படம எடதத பர ஆணடட இநதயன ஆஸகர அவரட movies,The film is one of the most important things to do.,The film is one of the most important things to do,Positive
இந்த படம் ப்ரோமோஷன் பண்ணாதீங்க இந்த படம் பெண்கள் உடம்பை வைச்சு செக்ஸ் ஆபாசம் வன்முறை கடத்தல் லாஜிக் மீறல் போன்ற சமூகத்தை பாதிக்கும் படம் குழைந்தைகள் மட்டும் அல்ல இளைனர்கள் பெரியோர்கள் பார்த்தாலும் கெட்டு போக வாய்ப்பு உண்டு.,இநத படம பரமஷன பணணதஙக இநத படம பணகள உடமப வசச சகஸ ஆபசம வனமற கடததல லஜக மறல பனற சமகதத பதககம படம கழநதகள மடடம அலல இளனரகள பரயரகள பரததலம கடட பக வயபப உணட,This is a picture of the image of the image of the image of the image of the image of the film.,This is a picture of the image of the image of the image of the image of the image of the film,Neutral
Kadha sollath  review sollu uncle 😹,kadha sollath review sollu uncle,kadha sollath review sollu uncle,kadha sollath review sollu uncle,Neutral
Telungan Japanese Pesuraan Japan Kaaran Tamil la Pesuraan🤣🤣🤣,telungan japanese pesuraan japan kaaran tamil la pesuraan,Umung Japanese Pesuraan Japan Kaaran Tamil La Pesuraan,Umung Japanese Pesuraan Japan Kaaran Tamil La Pesuraan,Neutral
Work from home tamil cinema 😂😂😂😂😂😂,work from home tamil cinema,work from home tamil cinema,work from home tamil cinema,Neutral
Padam na enjoy panitu pongaya,padam na enjoy panitu pongaya,Padam na enjoy Panitu Pongaya,Padam na enjoy Panitu Pongaya,Positive
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=337"">5:37</a> 😂😂🤣🤣",a href,and href,and href,Neutral
அருமையான திரைவிமர்சனம் ❤,அரமயன தரவமரசனம,Maramic data,Maramic data,Neutral
Yooo kzumpuuyaa😮😮😊,yooo kzumpuuyaa,Yooo Kzumu,Yooo Kzumu,Neutral
❤,,,,Neutral
Nobody ever never can do review like this😂,nobody ever never can do review like this,nobody ever never can do review like this,nobody ever never can do review like this,Neutral
படம் உண்மையில் பொழுதுபோக்கான படம் பாக்கலாம் 3 மணி நேரம் படம் போனதே தெரியவில்லை அவ்வளவு வேகமா போகுது படம்,படம உணமயல பழதபககன படம பககலம மண நரம படம பனத தரயவலல அவவளவ வகம பகத படம,Image,Image,Neutral
"No doubt, Kerala Peoples are always the best. Because they gave full &amp; full negative reviews for Pushpa 2. But our brainless Tamil reviewers &amp; a lots of foolish Tamil peoples gave positive reviews for this waste movie Pushpa 2.",no doubt kerala peoples are always the best because they gave full amp full negative reviews for pushpa but our brainless tamil reviewers amp a lots of foolish tamil peoples gave positive reviews for this waste movie pushpa,no doubt kerala peoples are always the best because they gave full amp full negative reviews for pushpa but our brainless tamil reviewers amp a lots of foolish tamil peoples gave positive reviews for this waste movie pushpa,no doubt kerala peoples are always the best because they gave full amp full negative reviews for pushpa but our brainless tamil reviewers amp a lots of foolish tamil peoples gave positive reviews for this waste movie pushpa,Positive
பீ ல விழுந்த ப்ளூ சட்டை விமர்சனம்...😂😂,ப ல வழநத பள சடட வமரசனம,The best way to do this,The best way to do this,Positive
"No doubt, Kerala Peoples are always the best. Because they gave full &amp; full negative reviews for Pushpa 2. But our brainless Tamil reviewers &amp; a lots of foolish Tamil peoples gave positive reviews for this waste movie Pushpa 2.",no doubt kerala peoples are always the best because they gave full amp full negative reviews for pushpa but our brainless tamil reviewers amp a lots of foolish tamil peoples gave positive reviews for this waste movie pushpa,no doubt kerala peoples are always the best because they gave full amp full negative reviews for pushpa but our brainless tamil reviewers amp a lots of foolish tamil peoples gave positive reviews for this waste movie pushpa,no doubt kerala peoples are always the best because they gave full amp full negative reviews for pushpa but our brainless tamil reviewers amp a lots of foolish tamil peoples gave positive reviews for this waste movie pushpa,Positive
புய்ப்பம் டூ...!,பயபபம ட,Afraid,Afraid,Negative
#1 trending Mass Blue sattai Review 💥💥💥,trending mass blue sattai review,trending mass blue sattai review,trending mass blue sattai review,Neutral
Nee enna solre ... Ennnadi solree😂😂😂😂,nee enna solre ennnadi solree,Nee Enna Solre Ennnadi Solree,Nee Enna Solre Ennnadi Solree,Neutral
Part-1 pakala 🥱,part pakala,Pakala parts,Pakala parts,Neutral
Ivar oraal tha correct &amp; perfect review panraaru...cringe jaathre movie😂😂😂,ivar oraal tha correct amp perfect review panraarucringe jaathre movie,ivar oraal tha correct amp perfect review panraarucringe jaathre movie,ivar oraal tha correct amp perfect review panraarucringe jaathre movie,Positive
Side vangittar...,side vangittar,Side Vangittar,Side Vangittar,Neutral
Romba thelungu padama irukkum😂,romba thelungu padama irukkum,The therapeous Romba in Irukkum,The therapeous Romba in Irukkum,Neutral
Nee poi padam edu da naayae,nee poi padam edu da naayae,Nee Poi goes out edu da Naayae,Nee Poi goes out edu da Naayae,Neutral
Thangi thangi side vangitapla 😂😂😂,thangi thangi side vangitapla,thangi thangi side vangitapla,thangi thangi side vangitapla,Neutral
Enada ellam fake review ah pottu vachu irukenga jokersgala 😂😂😂😂,enada ellam fake review ah pottu vachu irukenga jokersgala,enada ellam fake review ah potu vachu Iruenga jokers gala,enada ellam fake review ah potu vachu Iruenga jokers gala,Negative
இரண்டாம் பாதி தலை வலி,இரணடம பத தல வல,I iron,I iron,Neutral
